class_id,class_name,tp,fp,fn,precision,recall,f1,error_total,error_share,cum_error_share
1,short,396,31,82,0.927400468384075,0.8284518828451883,0.8751381215469614,113,0.30133333333333334,0.30133333333333334
0,open,591,8,68,0.986644407345576,0.8968133535660091,0.9395866454689984,76,0.20266666666666666,0.504
5,pin-hole,450,41,20,0.9164969450101832,0.9574468085106383,0.9365244536940688,61,0.16266666666666665,0.6666666666666666
3,spur,439,7,44,0.984304932735426,0.9089026915113873,0.945102260495156,51,0.136,0.8026666666666666
2,mousebite,554,11,32,0.9805309734513274,0.9453924914675768,0.9626411815812336,43,0.11466666666666667,0.9173333333333333
4,copper,444,11,20,0.9758241758241758,0.956896551724138,0.9662676822633296,31,0.08266666666666667,1.0
