class_id,class_name,tp,fp,fn,precision,recall,f1
0,open,591,8,68,0.986644407345576,0.8968133535660091,0.9395866454689984
1,short,396,31,82,0.927400468384075,0.8284518828451883,0.8751381215469614
2,mousebite,554,11,32,0.9805309734513274,0.9453924914675768,0.9626411815812337
3,spur,439,7,44,0.984304932735426,0.9089026915113871,0.945102260495156
4,copper,444,11,20,0.9758241758241758,0.9568965517241379,0.9662676822633297
5,pin-hole,450,41,20,0.9164969450101833,0.9574468085106383,0.9365244536940688
