threshold,precision,recall,f1
0.05,0.7268857886025065,0.9789808917197452,0.8343058759668883
0.1,0.7977059436913452,0.9745222929936306,0.8772935779816514
0.15,0.8328774617067833,0.9697452229299363,0.8961153619776338
0.2,0.8556526642232873,0.9665605095541401,0.9077314191715269
0.25,0.8728740270971461,0.9643312101910828,0.916326221818732
0.3,0.8880377136122569,0.9598726114649682,0.9225589225589226
0.35,0.9024024024024024,0.9570063694267515,0.9289026275115919
0.4,0.9141984732824427,0.9535031847133758,0.9334372564302417
0.45,0.9260869565217391,0.9496815286624204,0.9377358490566039
0.5,0.9362776025236593,0.9452229299363057,0.9407290015847861
0.55,0.9437160217460825,0.9398089171974522,0.941758417105473
0.6,0.9547540983606557,0.9273885350318471,0.9408723747980613
0.65,0.9634596044250754,0.9152866242038217,0.9387555120039196
0.7,0.9733564013840831,0.8958598726114649,0.9330016583747928
0.75,0.9820183486238532,0.8522292993630574,0.912531969309463
0.8,0.9920201595968081,0.7522292993630574,0.8556420938235827
0.85,0.9967355821545157,0.5834394904458599,0.7360385697067094
0.9,0.9975990396158463,0.2646496815286624,0.418323684872892
